-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
June,12,601,669,771,42.8,0.82,0.99,1.15,0.09,1.09,1.24,1.41,0.09
June,13,601,667,771,42.7,0.83,0.98,1.17,0.09,1.10,1.24,1.43,0.09
June,14,602,669,774,43.2,0.83,0.98,1.17,0.10,1.08,1.25,1.43,0.09
June,15,614,675,784,42.0,0.80,0.99,1.18,0.10,1.13,1.26,1.45,0.09
June,16,612,679,790,43.5,0.79,0.99,1.19,0.10,1.13,1.26,1.46,0.09
June,17,584,681,779,43.7,0.78,0.99,1.19,0.10,1.06,1.27,1.47,0.09
June,18,577,682,771,41.2,0.77,1.00,1.19,0.09,1.06,1.27,1.46,0.09
June,19,583,687,775,40.6,0.78,1.01,1.20,0.10,1.07,1.28,1.46,0.08
June,20,586,691,783,39.2,0.78,1.02,1.21,0.09,1.09,1.30,1.46,0.08
June,21,606,692,760,38.9,0.77,1.02,1.19,0.09,1.11,1.30,1.43,0.08
June,22,616,693,750,35.1,0.81,1.03,1.17,0.09,1.12,1.30,1.43,0.08
June,23,645,726,799,34.9,0.88,1.10,1.24,0.09,1.19,1.38,1.53,0.08
June,24,687,774,839,34.1,1.01,1.18,1.31,0.08,1.29,1.48,1.61,0.07
July,Monthly Average,692,833,"1,092",81.4,0.96,1.27,1.73,0.17,1.19,1.50,2.05,0.18
July,1,809,912,992,44.0,1.26,1.45,1.62,0.07,1.49,1.68,1.85,0.08
July,2,829,936,"1,046",50.3,1.28,1.49,1.66,0.08,1.53,1.72,1.93,0.09
July,3,842,955,"1,067",54.2,1.30,1.52,1.72,0.09,1.55,1.76,1.97,0.10
July,4,842,963,"1,092",56.1,1.30,1.55,1.73,0.09,1.55,1.78,2.05,0.10
July,5,836,950,"1,067",51.3,1.29,1.53,1.67,0.08,1.54,1.76,2.00,0.09
July,6,806,927,"1,035",49.3,1.28,1.48,1.60,0.08,1.51,1.71,1.90,0.09
July,7,802,895,"1,034",49.5,1.22,1.41,1.58,0.09,1.46,1.64,1.84,0.09
